query_id,query,agent,retriever,recall@5,mrr@5,ndcg@5
q01,O que define a habilidade EM13MAT303 da BNCC?,StandardAgent,DenseRetriever,0.0,0.0,0.0
q01,O que define a habilidade EM13MAT303 da BNCC?,FusionAgent,DenseRetriever,0.0,0.0,0.0
q01,O que define a habilidade EM13MAT303 da BNCC?,StandardAgent,BM25Retriever,0.6,0.5,0.5048670950817012
q01,O que define a habilidade EM13MAT303 da BNCC?,FusionAgent,BM25Retriever,0.4,0.5,0.4616358748129108
q01,O que define a habilidade EM13MAT303 da BNCC?,StandardAgent,Hybrid,0.4,0.3333333333333333,0.35849408350915307
q01,O que define a habilidade EM13MAT303 da BNCC?,FusionAgent,Hybrid,0.4,0.5,0.4616358748129108
q02,Explique a competência EM 13 MAT 303.,StandardAgent,DenseRetriever,0.21428571428571427,1.0,0.4238854223621527
q02,Explique a competência EM 13 MAT 303.,FusionAgent,DenseRetriever,0.14285714285714285,1.0,0.18822116739323008
q02,Explique a competência EM 13 MAT 303.,StandardAgent,BM25Retriever,0.21428571428571427,1.0,0.2207539844133591
q02,Explique a competência EM 13 MAT 303.,FusionAgent,BM25Retriever,0.21428571428571427,1.0,0.19068632841796654
q02,Explique a competência EM 13 MAT 303.,StandardAgent,Hybrid,0.2857142857142857,1.0,0.3109904416365864
q02,Explique a competência EM 13 MAT 303.,FusionAgent,Hybrid,0.2857142857142857,1.0,0.291755880259459
q03,Qual a diferença entre o crescimento linear e exponencial no contexto de juros simples e compostos?,StandardAgent,DenseRetriever,0.3333333333333333,1.0,0.7061804877359824
q03,Qual a diferença entre o crescimento linear e exponencial no contexto de juros simples e compostos?,FusionAgent,DenseRetriever,0.3333333333333333,1.0,0.827776834675176
q03,Qual a diferença entre o crescimento linear e exponencial no contexto de juros simples e compostos?,StandardAgent,BM25Retriever,0.3333333333333333,1.0,0.7966478791550827
q03,Qual a diferença entre o crescimento linear e exponencial no contexto de juros simples e compostos?,FusionAgent,BM25Retriever,0.3333333333333333,1.0,0.7966478791550827
q03,Qual a diferença entre o crescimento linear e exponencial no contexto de juros simples e compostos?,StandardAgent,Hybrid,0.4444444444444444,1.0,0.8661947041792303
q03,Qual a diferença entre o crescimento linear e exponencial no contexto de juros simples e compostos?,FusionAgent,Hybrid,0.3333333333333333,1.0,0.8316860679718215
q04,Como a BNCC diferencia alfabetização de letramento nos anos iniciais?,StandardAgent,DenseRetriever,0.38461538461538464,1.0,0.7772464726644945
q04,Como a BNCC diferencia alfabetização de letramento nos anos iniciais?,FusionAgent,DenseRetriever,0.23076923076923078,1.0,0.5585896100210213
q04,Como a BNCC diferencia alfabetização de letramento nos anos iniciais?,StandardAgent,BM25Retriever,0.3076923076923077,1.0,0.5277884704917104
q04,Como a BNCC diferencia alfabetização de letramento nos anos iniciais?,FusionAgent,BM25Retriever,0.3076923076923077,1.0,0.5277884704917104
q04,Como a BNCC diferencia alfabetização de letramento nos anos iniciais?,StandardAgent,Hybrid,0.38461538461538464,1.0,0.8090683751073771
q04,Como a BNCC diferencia alfabetização de letramento nos anos iniciais?,FusionAgent,Hybrid,0.38461538461538464,1.0,0.8090683751073771
q05,Quais as orientações para o ensino de números e contagem na habilidade EF01MA01?,StandardAgent,DenseRetriever,0.5714285714285714,1.0,0.9607351561128336
q05,Quais as orientações para o ensino de números e contagem na habilidade EF01MA01?,FusionAgent,DenseRetriever,0.42857142857142855,1.0,0.9357996741960194
q05,Quais as orientações para o ensino de números e contagem na habilidade EF01MA01?,StandardAgent,BM25Retriever,0.42857142857142855,1.0,0.9357996741960194
q05,Quais as orientações para o ensino de números e contagem na habilidade EF01MA01?,FusionAgent,BM25Retriever,0.5714285714285714,1.0,0.9696205698332473
q05,Quais as orientações para o ensino de números e contagem na habilidade EF01MA01?,StandardAgent,Hybrid,0.42857142857142855,1.0,0.9357996741960194
q05,Quais as orientações para o ensino de números e contagem na habilidade EF01MA01?,FusionAgent,Hybrid,0.5714285714285714,1.0,0.9661791043627721
q06,Onde aparece a aplicação do Teorema de Pitágoras no 9º ano?,StandardAgent,DenseRetriever,0.3076923076923077,1.0,0.8990207509578788
q06,Onde aparece a aplicação do Teorema de Pitágoras no 9º ano?,FusionAgent,DenseRetriever,0.23076923076923078,1.0,0.8676624156050328
q06,Onde aparece a aplicação do Teorema de Pitágoras no 9º ano?,StandardAgent,BM25Retriever,0.38461538461538464,1.0,0.8543764002706543
q06,Onde aparece a aplicação do Teorema de Pitágoras no 9º ano?,FusionAgent,BM25Retriever,0.38461538461538464,1.0,1.0
q06,Onde aparece a aplicação do Teorema de Pitágoras no 9º ano?,StandardAgent,Hybrid,0.38461538461538464,1.0,0.9899048708410192
q06,Onde aparece a aplicação do Teorema de Pitágoras no 9º ano?,FusionAgent,Hybrid,0.3076923076923077,1.0,0.9617374216635709
q07,Como evolui o ensino de Probabilidade do 1º ao 9º ano do Ensino Fundamental?,StandardAgent,DenseRetriever,0.2,1.0,0.7227265726449517
q07,Como evolui o ensino de Probabilidade do 1º ao 9º ano do Ensino Fundamental?,FusionAgent,DenseRetriever,0.26666666666666666,1.0,0.8687949224876581
q07,Como evolui o ensino de Probabilidade do 1º ao 9º ano do Ensino Fundamental?,StandardAgent,BM25Retriever,0.2,1.0,0.2281171825068285
q07,Como evolui o ensino de Probabilidade do 1º ao 9º ano do Ensino Fundamental?,FusionAgent,BM25Retriever,0.2,1.0,0.24090885754831726
q07,Como evolui o ensino de Probabilidade do 1º ao 9º ano do Ensino Fundamental?,StandardAgent,Hybrid,0.26666666666666666,1.0,0.5296347172140421
q07,Como evolui o ensino de Probabilidade do 1º ao 9º ano do Ensino Fundamental?,FusionAgent,Hybrid,0.26666666666666666,1.0,0.5453092190767764
q08,De que forma a ludicidade deve ser preservada na transição da Educação Infantil para o Ensino Fundamental?,StandardAgent,DenseRetriever,0.26666666666666666,0.5,0.38033318391423077
q08,De que forma a ludicidade deve ser preservada na transição da Educação Infantil para o Ensino Fundamental?,FusionAgent,DenseRetriever,0.26666666666666666,0.5,0.38033318391423077
q08,De que forma a ludicidade deve ser preservada na transição da Educação Infantil para o Ensino Fundamental?,StandardAgent,BM25Retriever,0.2,1.0,0.6626817015867427
q08,De que forma a ludicidade deve ser preservada na transição da Educação Infantil para o Ensino Fundamental?,FusionAgent,BM25Retriever,0.26666666666666666,1.0,0.7381941711356502
q08,De que forma a ludicidade deve ser preservada na transição da Educação Infantil para o Ensino Fundamental?,StandardAgent,Hybrid,0.2,1.0,0.566626543229673
q08,De que forma a ludicidade deve ser preservada na transição da Educação Infantil para o Ensino Fundamental?,FusionAgent,Hybrid,0.2,0.5,0.4349519824458393
q09,O que a BNCC define como esportes de marca e invasão no 6º ano?,StandardAgent,DenseRetriever,0.3333333333333333,1.0,0.7644846879987715
q09,O que a BNCC define como esportes de marca e invasão no 6º ano?,FusionAgent,DenseRetriever,0.26666666666666666,1.0,0.7167903010178945
q09,O que a BNCC define como esportes de marca e invasão no 6º ano?,StandardAgent,BM25Retriever,0.3333333333333333,1.0,0.8050102282292517
q09,O que a BNCC define como esportes de marca e invasão no 6º ano?,FusionAgent,BM25Retriever,0.3333333333333333,1.0,0.7775786113636151
q09,O que a BNCC define como esportes de marca e invasão no 6º ano?,StandardAgent,Hybrid,0.3333333333333333,1.0,0.8050102282292517
q09,O que a BNCC define como esportes de marca e invasão no 6º ano?,FusionAgent,Hybrid,0.3333333333333333,1.0,0.7002532264119935
q10,Como a Cultura Digital é abordada nas competências gerais da BNCC?,StandardAgent,DenseRetriever,0.3333333333333333,1.0,0.9250256699929476
q10,Como a Cultura Digital é abordada nas competências gerais da BNCC?,FusionAgent,DenseRetriever,0.3333333333333333,1.0,1.0
q10,Como a Cultura Digital é abordada nas competências gerais da BNCC?,StandardAgent,BM25Retriever,0.2,1.0,0.6992148198508501
q10,Como a Cultura Digital é abordada nas competências gerais da BNCC?,FusionAgent,BM25Retriever,0.13333333333333333,1.0,0.5087403079104241
q10,Como a Cultura Digital é abordada nas competências gerais da BNCC?,StandardAgent,Hybrid,0.26666666666666666,1.0,0.8539316501572934
q10,Como a Cultura Digital é abordada nas competências gerais da BNCC?,FusionAgent,Hybrid,0.26666666666666666,1.0,0.8539316501572934
q11,O que propõe a habilidade EF67LP01 sobre o uso de hiperlinks e escrita na web?,StandardAgent,DenseRetriever,0.35714285714285715,1.0,0.8788898793250992
